tick,scent_id,energy,x,"y,"
1101,3,563.3999999999526,1,9,
1101,9,531.699999999991,23,18,
1126,3,602.0999999999517,1,9,
1126,0,821.1999999999628,13,57,
1126,9,481.39999999999065,23,18,
1126,2,753.2999999999508,15,26,
1126,8,693.5999999999781,38,4,
1126,1,693.5999999999487,37,5,
1126,6,655.6999999999684,43,5,
1151,3,651.3999999999508,1,9,
1151,9,446.09999999999087,23,18,
1151,1,662.2999999999477,37,5,
1151,2,722.7999999999497,15,26,
1151,0,826.6999999999616,13,57,
1151,8,662.599999999977,38,4,
1151,6,662.8999999999673,43,5,
1176,6,641.4999999999663,43,5,
1176,3,699.2999999999497,1,9,
1176,0,855.1999999999605,13,57,
1176,9,389.7999999999911,23,18,
1176,2,677.2999999999486,15,26,
1176,1,641.9999999999466,37,5,
1176,8,641.5999999999758,38,4,
1201,0,869.6999999999593,13,57,
1201,3,743.7999999999486,1,9,
1201,9,364.0999999999912,23,18,
1201,8,626.5999999999747,38,4,
1201,6,626.4999999999652,43,5,
1201,1,626.1999999999455,37,5,
1201,2,646.1999999999475,15,26,
1226,3,775.2999999999474,1,9,
1226,9,330.5999999999914,23,18,
1226,6,633.6999999999641,43,5,
1226,2,630.3999999999464,15,26,
1226,1,633.8999999999444,37,5,
1226,8,632.9999999999736,38,4,
1226,0,908.1999999999582,13,57,
1251,2,615.6999999999455,15,26,
1251,0,947.6999999999571,13,57,
1251,1,650.5999999999433,37,5,
1251,6,649.9999999999632,43,5,
1251,3,825.7999999999463,1,9,
1251,9,296.8999999999915,23,18,
1251,8,649.7999999999727,38,4,
1276,3,872.2999999999452,1,9,
1276,2,650.3999999999446,15,26,
1276,8,660.2999999999715,38,4,
1276,0,968.1999999999559,13,57,
1276,1,660.7999999999422,37,5,
1276,9,271.5999999999916,23,18,
1276,6,654.1999999999621,43,5,
1301,1,658.7999999999411,37,5,
1301,3,911.799999999944,1,9,
1301,8,658.9999999999704,38,4,
1301,0,983.6999999999548,13,57,
1301,9,277.89999999999173,23,18,
1301,6,659.399999999961,43,5,
1301,2,680.8999999999435,15,26,
1326,2,702.0999999999424,15,26,
1326,1,682.3999999999401,37,5,
1326,9,266.49999999999187,23,18,
1326,8,683.1999999999694,38,4,
1326,3,973.2999999999429,1,9,
1326,0,993.1999999999537,13,57,
1326,6,684.99999999996,43,5,
1351,6,721.4999999999588,43,5,
1351,9,262.499999999992,23,18,
1351,2,703.5999999999412,15,26,
1351,1,704.8999999999389,37,5,
1351,8,715.6999999999682,38,4,
1351,3,1012.7999999999417,1,9,
1351,0,993.6999999999525,13,57,
1376,3,1074.2999999999406,1,9,
1376,0,997.1999999999514,13,57,
1376,9,268.0999999999921,23,18,
1376,8,772.1999999999671,38,4,
1376,1,707.3999999999378,37,5,
1376,6,752.9999999999577,43,5,
1376,2,740.0999999999401,15,26,
1401,9,252.79999999999222,23,18,
