tick,scent_id,energy,x,"y,"
1,3,992.5999999999999,53,86,
1,1,992.5999999999999,95,55,
1,5,992.5999999999999,81,61,
1,2,992.5999999999999,64,93,
1,0,992.5999999999999,80,20,
1,4,992.5999999999999,96,20,
26,5,900.0999999999988,81,61,
26,4,900.0999999999988,96,20,
26,3,900.0999999999988,53,86,
26,0,900.0999999999988,80,20,
26,2,914.0999999999988,64,93,
26,1,900.0999999999988,95,55,
51,2,875.5999999999976,64,93,
51,1,807.5999999999976,95,55,
51,4,807.5999999999976,96,20,
51,0,813.5999999999976,80,20,
51,3,833.5999999999976,53,86,
51,5,807.5999999999976,81,61,
76,2,847.0999999999965,64,93,
76,5,715.0999999999965,81,61,
76,0,845.0999999999965,80,20,
76,4,719.0999999999965,96,20,
76,3,844.0999999999965,53,86,
76,1,750.0999999999965,95,55,
101,3,818.5999999999954,53,86,
101,0,924.0999999999954,80,20,
101,5,647.7999999999954,81,61,
101,2,793.5999999999954,64,93,
101,1,755.5999999999954,95,55,
101,4,719.5999999999954,96,20,
126,3,772.0999999999942,53,86,
126,5,680.1999999999944,81,61,
126,4,764.0999999999942,96,20,
126,1,744.0999999999942,95,55,
126,2,798.0999999999942,64,93,
126,0,1017.0999999999942,80,20,
151,0,1070.099999999993,80,20,
151,3,730.5999999999931,53,86,
151,4,853.5999999999931,96,20,
151,1,768.5999999999931,95,55,
151,5,676.1999999999932,81,61,
151,2,819.5999999999931,64,93,
176,0,1130.599999999992,80,20,
176,4,932.099999999992,96,20,
176,5,691.6999999999921,81,61,
176,1,840.099999999992,95,55,
176,3,711.099999999992,53,86,
176,2,845.099999999992,64,93,
201,4,1041.5999999999908,96,20,
201,5,732.199999999991,81,61,
201,2,887.5999999999908,64,93,
201,1,902.5999999999908,95,55,
201,0,1184.0999999999908,80,20,
201,3,705.5999999999908,53,86,
226,3,699.0999999999897,53,86,
226,0,1227.5999999999897,80,20,
226,1,947.0999999999897,95,55,
226,4,1163.0999999999897,96,20,
226,5,770.6999999999898,81,61,
226,2,952.0999999999897,64,93,
251,2,1025.5999999999885,64,93,
251,1,1021.5999999999885,95,55,
251,5,778.1999999999887,81,61,
251,3,709.5999999999885,53,86,
251,4,1273.5999999999885,96,20,
251,0,1265.0999999999885,80,20,
276,1,1119.0999999999874,95,55,
276,2,1077.0999999999874,64,93,
276,5,785.6999999999875,81,61,
276,0,1300.5999999999874,80,20,
276,4,1246.0999999999874,96,20,
276,3,706.0999999999874,53,86,
301,3,679.5999999999863,53,86,
301,2,1151.5999999999863,64,93,
301,1,1229.5999999999863,95,55,
301,0,1355.0999999999863,80,20,
301,4,1202.5999999999863,96,20,
301,5,785.1999999999864,81,61,
326,0,1378.5999999999851,80,20,
326,5,788.6999999999853,81,61,
326,2,1198.0999999999851,64,93,
326,1,1359.0999999999851,95,55,
326,4,1165.0999999999851,96,20,
326,3,667.7999999999852,53,86,
351,0,929.099999999984,80,20,
351,7,962.9999999999995,91,60,
351,5,849.1999999999841,81,61,
351,2,1253.599999999984,64,93,
351,4,1150.599999999984,96,20,
351,1,932.599999999984,95,55,
351,3,646.6999999999841,53,86,
351,6,948.1999999999994,80,27,
376,4,1119.0999999999829,96,20,
376,6,892.6999999999982,80,27,
376,3,600.899999999983,53,86,
376,2,1293.0999999999829,64,93,
376,7,879.4999999999984,91,60,
376,1,981.0999999999829,95,55,
376,0,976.5999999999829,80,20,
376,5,867.699999999983,81,61,
401,7,841.9999999999973,91,60,
401,2,1316.5999999999817,64,93,
401,4,1096.5999999999817,96,20,
401,5,893.1999999999819,81,61,
401,6,883.1999999999971,80,27,
401,3,564.799999999982,53,86,
401,0,1029.0999999999817,80,20,
401,1,1001.5999999999817,95,55,
426,6,950.699999999996,80,27,
426,5,939.6999999999807,81,61,
426,7,821.4999999999961,91,60,
426,2,1369.0999999999806,64,93,
426,1,1022.0999999999806,95,55,
426,0,1067.5999999999806,80,20,
426,4,1037.0999999999806,96,20,
426,3,548.099999999981,53,86,
451,2,915.5999999999794,64,93,
451,1,1044.5999999999794,95,55,
451,5,958.1999999999796,81,61,
451,8,977.7999999999997,73,86,
451,0,1127.0999999999794,80,20,
451,7,789.999999999995,91,60,
451,4,1050.5999999999794,96,20,
451,3,530.7999999999802,53,86,
451,6,1050.1999999999948,80,27,
476,6,1110.6999999999937,80,27,
476,5,962.6999999999784,81,61,
476,8,889.2999999999986,73,86,
476,2,942.0999999999783,64,93,
476,1,1048.0999999999783,95,55,
476,7,762.4999999999939,91,60,
476,0,1182.5999999999783,80,20,
476,3,525.1999999999794,53,86,
476,4,1037.0999999999783,96,20,
501,1,1041.5999999999772,95,55,
501,4,1027.5999999999772,96,20,
501,6,1126.1999999999925,80,27,
501,5,964.1999999999773,81,61,
501,7,729.9999999999927,91,60,
501,8,854.7999999999975,73,86,
501,3,513.8999999999785,53,86,
501,0,1303.0999999999772,80,20,
501,2,972.5999999999772,64,93,
526,5,1051.6999999999762,81,61,
526,8,863.2999999999963,73,86,
526,0,903.599999999976,80,20,
526,3,496.6999999999786,53,86,
526,6,1137.6999999999914,80,27,
526,1,1128.099999999976,95,55,
526,4,1043.099999999976,96,20,
526,9,996.3,89,19,
526,7,716.4999999999916,91,60,
526,2,998.099999999976,64,93,
551,6,1166.1999999999903,80,27,
551,2,997.5999999999749,64,93,
551,4,1051.599999999975,96,20,
551,3,477.0999999999788,53,86,
551,8,941.7999999999952,73,86,
551,0,985.0999999999749,80,20,
551,1,1137.099999999975,95,55,
551,7,696.4999999999905,91,60,
551,5,1047.199999999975,81,61,
551,9,905.7999999999988,89,19,
576,0,1032.5999999999738,80,20,
576,3,473.599999999979,53,86,
576,9,840.2999999999977,89,19,
576,6,1174.6999999999891,80,27,
576,5,1029.699999999974,81,61,
576,8,993.299999999994,73,86,
576,4,1067.0999999999738,96,20,
576,2,1034.0999999999738,64,93,
576,7,698.9999999999893,91,60,
576,1,1101.5999999999738,95,55,
601,5,1011.1999999999728,81,61,
601,9,766.7999999999965,89,19,
601,4,1064.5999999999726,96,20,
601,7,696.4999999999882,91,60,
601,0,1103.0999999999726,80,20,
601,8,1042.799999999993,73,86,
601,3,466.6999999999792,53,86,
601,2,1042.5999999999726,64,93,
601,1,1052.0999999999726,95,55,
601,6,1169.199999999988,80,27,
626,3,471.6999999999794,53,86,
626,6,1168.6999999999869,80,27,
626,7,698.499999999987,91,60,
626,0,1150.5999999999715,80,20,
626,1,1049.0999999999715,95,55,
626,9,687.2999999999954,89,19,
626,5,992.6999999999716,81,61,
626,2,1025.0999999999715,64,93,
626,4,1082.0999999999715,96,20,
626,8,1065.2999999999918,73,86,
651,4,1109.5999999999704,96,20,
651,3,517.0999999999794,53,86,
651,5,953.1999999999705,81,61,
651,8,1059.7999999999906,73,86,
651,1,1004.0999999999704,95,55,
651,0,1193.0999999999704,80,20,
651,2,1002.5999999999704,64,93,
651,7,689.4999999999859,91,60,
651,9,607.7999999999943,89,19,
651,6,1174.1999999999857,80,27,
676,2,1047.0999999999692,64,93,
676,0,1237.5999999999692,80,20,
676,1,913.0999999999692,95,55,
676,6,1179.6999999999846,80,27,
676,8,1032.2999999999895,73,86,
676,7,697.9999999999848,91,60,
676,9,534.2999999999934,89,19,
676,3,565.0999999999785,53,86,
676,4,1102.0999999999692,96,20,
676,5,930.6999999999694,81,61,
701,9,467.89999999999327,89,19,
701,6,1171.1999999999834,80,27,
701,2,1050.599999999968,64,93,
701,5,899.1999999999682,81,61,
701,0,1246.099999999968,80,20,
701,1,862.5999999999681,95,55,
701,7,704.9999999999836,91,60,
701,4,1086.599999999968,96,20,
701,3,586.3999999999776,53,86,
701,8,1056.7999999999884,73,86,
726,8,1044.2999999999872,73,86,
726,3,615.3999999999767,53,86,
726,5,867.6999999999671,81,61,
726,7,701.4999999999825,91,60,
726,1,843.5999999999669,95,55,
726,0,1235.599999999967,80,20,
726,9,407.19999999999345,89,19,
726,6,1157.6999999999823,80,27,
726,2,1048.099999999967,64,93,
726,4,1072.099999999967,96,20,
751,4,1054.5999999999658,96,20,
751,3,615.2999999999756,53,86,
751,9,359.8999999999936,89,19,
751,2,1033.5999999999658,64,93,
751,5,855.1999999999659,81,61,
751,0,1240.0999999999658,80,20,
751,1,765.0999999999658,95,55,
751,8,1026.799999999986,73,86,
751,7,697.4999999999814,91,60,
751,6,1142.1999999999812,80,27,
776,7,692.9999999999802,91,60,
776,4,1035.5999999999647,96,20,
776,9,317.3999999999937,89,19,
776,6,1122.69999999998,80,27,
776,5,811.6999999999648,81,61,
776,3,622.4999999999745,53,86,
776,8,1017.299999999985,73,86,
776,1,695.0999999999647,95,55,
776,2,1022.0999999999647,64,93,
776,0,1220.0999999999647,80,20,
801,0,1145.5999999999635,80,20,
801,7,676.4999999999791,91,60,
801,9,265.49999999999386,89,19,
801,3,636.6999999999734,53,86,
801,8,991.7999999999838,73,86,
801,6,1105.199999999979,80,27,
801,2,1034.5999999999635,64,93,
801,1,677.0999999999635,95,55,
801,4,1000.0999999999635,96,20,
801,5,799.1999999999637,81,61,
826,6,1087.6999999999778,80,27,
826,1,665.0999999999624,95,55,
826,3,655.8999999999724,53,86,
826,9,224.59999999999394,89,19,
826,4,959.5999999999624,96,20,
826,8,971.2999999999827,73,86,
826,2,1083.0999999999624,64,93,
826,5,800.6999999999625,81,61,
826,7,664.699999999978,91,60,
826,0,1083.5999999999624,80,20,
851,2,1072.5999999999613,64,93,
851,3,679.0999999999713,53,86,
851,4,936.0999999999613,96,20,
851,8,930.7999999999815,73,86,
851,9,175.29999999999404,89,19,
851,6,1087.1999999999766,80,27,
851,5,783.1999999999614,81,61,
851,1,642.5999999999613,95,55,
851,0,1015.5999999999613,80,20,
851,7,645.799999999977,91,60,
876,1,614.2999999999602,95,55,
876,0,976.0999999999601,80,20,
876,9,136.0999999999941,89,19,
876,8,903.2999999999804,73,86,
876,4,932.5999999999601,96,20,
876,3,690.5999999999701,53,86,
876,2,1036.0999999999601,64,93,
876,7,613.199999999976,91,60,
876,5,799.6999999999603,81,61,
876,6,1092.6999999999755,80,27,
901,1,587.3999999999592,95,55,
901,6,1107.1999999999744,80,27,
901,5,834.1999999999591,81,61,
901,2,1046.599999999959,64,93,
901,9,100.2999999999941,89,19,
901,3,707.099999999969,53,86,
901,8,862.7999999999793,73,86,
901,4,926.099999999959,96,20,
901,7,584.8999999999749,91,60,
901,0,964.599999999959,80,20,
926,0,964.0999999999578,80,20,
926,8,821.2999999999781,73,86,
926,4,909.5999999999578,96,20,
926,9,69.8999999999941,89,19,
926,1,563.8999999999583,95,55,
926,7,563.6999999999739,91,60,
926,6,1122.6999999999732,80,27,
926,2,1067.0999999999578,64,93,
926,5,843.699999999958,81,61,
926,3,725.5999999999678,53,86,
951,6,1139.199999999972,80,27,
951,4,897.0999999999567,96,20,
951,7,537.7999999999731,91,60,
951,3,694.0999999999667,53,86,
951,1,540.9999999999573,95,55,
951,0,966.0999999999567,80,20,
951,5,867.1999999999568,81,61,
951,8,778.799999999977,73,86,
951,2,1090.5999999999567,64,93,
951,9,39.49999999999409,89,19,
976,7,539.6999999999723,91,60,
976,2,1077.0999999999556,64,93,
976,1,550.6999999999566,95,55,
976,8,736.2999999999759,73,86,
976,6,1175.699999999971,80,27,
976,4,875.5999999999556,96,20,
976,0,939.5999999999556,80,20,
976,3,689.5999999999656,53,86,
976,5,873.6999999999557,81,61,
976,9,14.499999999994088,89,19,
1001,8,708.7999999999747,73,86,
1001,7,530.3999999999714,91,60,
1001,6,1199.1999999999698,80,27,
1001,0,906.0999999999544,80,20,
1001,2,1087.5999999999544,64,93,
1001,4,822.0999999999544,96,20,
1001,3,656.7999999999645,53,86,
1001,1,532.6999999999557,95,55,
1001,5,863.1999999999546,81,61,
1026,1,519.7999999999547,95,55,
1026,3,595.3999999999635,53,86,
1026,5,821.6999999999534,81,61,
1026,0,947.5999999999533,80,20,
1026,8,681.7999999999736,73,86,
1026,7,518.6999999999707,91,60,
1026,6,1205.1999999999687,80,27,
1026,2,1109.0999999999533,64,93,
1026,4,785.5999999999533,96,20,
1051,6,1216.6999999999675,80,27,
1051,7,495.6999999999708,91,60,
1051,3,545.3999999999626,53,86,
1051,2,1129.5999999999522,64,93,
1051,4,810.0999999999522,96,20,
1051,5,799.1999999999523,81,61,
1051,8,633.7999999999724,73,86,
1051,0,972.5999999999522,80,20,
1051,1,498.09999999995426,95,55,
1076,7,488.19999999997106,91,60,
1076,1,487.2999999999544,95,55,
1076,6,1310.1999999999664,80,27,
1076,8,630.4999999999714,73,86,
1076,0,1008.099999999951,80,20,
1076,4,806.599999999951,96,20,
1076,2,1121.099999999951,64,93,
1076,3,494.399999999962,53,86,
