tick,scent_id,energy,x,y,
1,4,992.5999999999999,58,56,
1,0,992.5999999999999,14,35,
1,3,992.5999999999999,42,52,
1,1,992.5999999999999,84,87,
1,2,992.5999999999999,58,64,
1,5,992.5999999999999,89,81,
26,1,900.0999999999988,84,87,
26,5,900.0999999999988,89,81,
26,0,900.0999999999988,14,35,
26,3,900.0999999999988,42,52,
26,4,900.0999999999988,58,56,
26,2,900.0999999999988,58,64,
51,0,807.5999999999976,14,35,
51,3,807.5999999999976,42,52,
51,5,808.5999999999976,89,81,
51,2,825.5999999999976,58,64,
51,4,807.5999999999976,58,56,
51,1,807.5999999999976,84,87,
76,3,720.0999999999965,42,52,
76,5,742.0999999999965,89,81,
76,0,715.0999999999965,14,35,
76,1,715.0999999999965,84,87,
76,2,802.0999999999965,58,64,
76,4,759.0999999999965,58,56,
101,3,686.2999999999954,42,52,
101,0,646.5999999999954,14,35,
101,5,714.5999999999954,89,81,
101,4,850.5999999999954,58,56,
101,1,691.5999999999954,84,87,
101,2,822.5999999999954,58,64,
126,4,891.0999999999942,58,56,
126,5,665.0999999999942,89,81,
126,3,679.7999999999943,42,52,
126,0,622.0999999999942,14,35,
126,1,709.0999999999942,84,87,
126,2,831.0999999999942,58,64,
151,5,663.9999999999932,89,81,
151,1,679.5999999999931,84,87,
151,3,661.9999999999932,42,52,
151,0,644.6999999999932,14,35,
151,2,826.5999999999931,58,64,
151,4,957.5999999999931,58,56,
176,1,667.799999999992,84,87,
176,0,667.5999999999922,14,35,
176,3,637.5999999999922,42,52,
176,2,850.099999999992,58,64,
176,5,695.1999999999921,89,81,
176,4,1028.099999999992,58,56,
201,2,856.5999999999908,58,64,
201,0,742.099999999991,14,35,
201,5,696.699999999991,89,81,
201,3,655.4999999999911,42,52,
201,1,646.699999999991,84,87,
201,4,1081.5999999999908,58,56,
226,1,628.8999999999899,84,87,
226,4,1095.0999999999897,58,56,
226,5,696.1999999999898,89,81,
226,3,662.99999999999,42,52,
226,2,872.0999999999897,58,64,
226,0,787.5999999999899,14,35,
251,2,863.5999999999885,58,64,
251,4,1132.5999999999885,58,56,
