tick,scent_id,energy,x,y,
926,8,540.6999999999764,57,58,
926,4,540.7999999999597,61,54,
951,1,862.0999999999567,97,48,
951,0,1207.8999999999571,71,48,
951,7,698.4999999999723,98,96,
951,2,976.5999999999567,95,93,
951,6,81.29999999998972,88,51,
951,8,519.7999999999756,57,58,
951,4,518.8999999999589,61,54,
951,10,472.19999999998305,18,84,
951,5,908.0999999999567,33,19,
951,9,468.0999999999862,40,27,
951,3,471.99999999995964,21,77,
976,1,902.0999999999556,97,48,
976,6,57.199999999989714,88,51,
976,2,945.0999999999556,95,93,
976,9,441.5999999999864,40,27,
976,4,495.19999999995855,61,54,
976,3,425.7999999999599,21,77,
976,0,1197.399999999956,71,48,
976,10,425.79999999998324,18,84,
976,7,698.4999999999711,98,96,
976,5,872.5999999999556,33,19,
976,8,496.8999999999755,57,58,
1001,8,476.1999999999757,57,58,
1001,9,408.39999999998656,40,27,
1001,6,28.099999999989706,88,51,
1001,0,1201.8999999999548,71,48,
1001,4,476.6999999999587,61,54,
1001,3,388.9999999999601,21,77,
1001,1,870.0999999999544,97,48,
1001,2,924.5999999999544,95,93,
1001,5,825.0999999999544,33,19,
1001,10,388.8999999999834,18,84,
1001,7,696.49999999997,98,96,
1026,8,474.3999999999759,57,58,
1026,3,364.49999999996027,21,77,
1026,10,363.69999999998356,18,84,
1026,1,839.5999999999533,97,48,
1026,5,822.5999999999533,33,19,
1026,4,469.39999999995894,61,54,
1026,7,697.4999999999688,98,96,
1026,0,1184.3999999999537,71,48,
1026,2,894.5999999999533,95,93,
1026,9,390.79999999998665,40,27,
1051,7,697.9999999999677,98,96,
1051,1,839.5999999999522,97,48,
1051,0,1151.8999999999526,71,48,
1051,3,337.8999999999604,21,77,
1051,8,447.0999999999761,57,58,
1051,5,873.0999999999522,33,19,
1051,2,865.5999999999522,95,93,
1051,4,444.49999999995913,61,54,
1051,10,336.0999999999837,18,84,
1051,9,350.9999999999868,40,27,
1076,1,825.099999999951,97,48,
1076,2,806.099999999951,95,93,
1076,10,313.49999999998386,18,84,
1076,5,874.599999999951,33,19,
1076,4,438.7999999999593,61,54,
1076,7,698.4999999999666,98,96,
1076,9,360.0999999999869,40,27,
1076,0,1111.3999999999514,71,48,
1076,8,434.79999999997625,57,58,
1076,3,313.99999999996055,21,77,
1101,4,420.6999999999595,61,54,
1101,2,758.5999999999499,95,93,
1101,8,418.39999999997644,57,58,
1101,3,295.19999999996065,21,77,
1101,7,697.4999999999654,98,96,
1101,0,1092.8999999999503,71,48,
1101,5,845.5999999999499,33,19,
1101,10,297.09999999998394,18,84,
1101,1,821.0999999999499,97,48,
1101,9,339.79999999998705,40,27,
1126,3,264.7999999999608,21,77,
1126,5,796.0999999999487,33,19,
1126,7,698.4999999999643,98,96,
1126,9,311.79999999998716,40,27,
1126,8,402.1999999999766,57,58,
1126,2,762.0999999999487,95,93,
1126,10,268.09999999998405,18,84,
1126,0,1129.3999999999492,71,48,
1126,4,404.1999999999597,61,54,
1126,1,797.0999999999487,97,48,
1151,1,773.5999999999476,97,48,
1151,10,245.19999999998413,18,84,
1151,4,388.5999999999599,61,54,
1151,3,247.09999999996091,21,77,
1151,5,799.0999999999476,33,19,
1151,8,388.19999999997674,57,58,
1151,9,294.2999999999873,40,27,
1151,7,697.4999999999632,98,96,
1151,2,738.0999999999476,95,93,
1151,0,1125.899999999948,71,48,
1176,5,788.5999999999465,33,19,
1176,3,221.29999999996102,21,77,
1176,1,751.0999999999465,97,48,
1176,8,354.9999999999769,57,58,
1176,9,270.5999999999874,40,27,
1176,0,1138.3999999999469,71,48,
1176,4,360.79999999996005,61,54,
1176,7,697.999999999962,98,96,
1176,10,221.69999999998424,18,84,
1176,2,696.5999999999465,95,93,
1201,5,781.0999999999453,33,19,
1201,9,264.6999999999875,40,27,
1201,0,1151.8999999999457,71,48,
1201,7,696.4999999999609,98,96,
1201,10,196.89999999998435,18,84,
1201,2,696.5999999999453,95,93,
1201,3,195.09999999996114,21,77,
1201,1,696.0999999999453,97,48,
1201,4,341.4999999999602,61,54,
1201,8,340.79999999997705,57,58,
1226,1,696.5999999999442,97,48,
1226,5,745.5999999999442,33,19,
1226,10,167.3999999999844,18,84,
1226,7,696.4999999999598,98,96,
1226,3,169.69999999996128,21,77,
1226,4,329.29999999996033,61,54,
1226,0,1216.3999999999446,71,48,
1226,8,327.29999999997716,57,58,
1226,2,722.5999999999442,95,93,
1226,9,228.9999999999876,40,27,
1251,2,754.0999999999431,95,93,
1251,10,156.49999999998442,18,84,
1251,4,317.2999999999605,61,54,
1251,0,1271.8999999999435,71,48,
1251,9,212.69999999998765,40,27,
1251,5,710.5999999999431,33,19,
1251,7,697.4999999999586,98,96,
1251,8,316.3999999999773,57,58,
1251,3,156.59999999996137,21,77,
1251,1,698.5999999999431,97,48,
1276,1,726.5999999999419,97,48,
1276,2,778.0999999999419,95,93,
1276,10,135.99999999998448,18,84,
1276,8,364.6999999999774,57,58,
1276,3,134.1999999999615,21,77,
1276,4,363.9999999999606,61,54,
1276,0,1297.3999999999423,71,48,
1276,9,184.59999999998774,40,27,
1276,5,688.5999999999419,33,19,
1276,7,702.9999999999575,98,96,
1301,1,772.5999999999408,97,48,
1301,8,407.6999999999776,57,58,
1301,2,827.5999999999408,95,93,
1301,10,126.69999999998453,18,84,
1301,3,126.59999999996154,21,77,
1301,9,157.69999999998782,40,27,
1301,7,707.9999999999563,98,96,
1301,4,405.5999999999608,61,54,
1301,0,1324.8999999999412,71,48,
1301,5,678.0999999999408,33,19,
1326,7,728.4999999999552,98,96,
1326,2,840.0999999999397,95,93,
1326,10,130.69999999998453,18,84,
1326,5,675.5999999999397,33,19,
1326,9,120.49999999998788,40,27,
1326,8,418.4999999999778,57,58,
1326,4,416.19999999996094,61,54,
1326,1,797.0999999999397,97,48,
1326,0,1345.39999999994,71,48,
1326,3,130.79999999996159,21,77,
1351,4,412.89999999996115,61,54,
1351,7,718.9999999999541,98,96,
1351,2,854.5999999999385,95,93,
1351,10,113.59999999998452,18,84,
1351,1,839.5999999999385,97,48,
1351,5,682.0999999999385,33,19,
1351,0,1349.899999999939,71,48,
1351,9,88.99999999998786,40,27,
1351,8,414.3999999999779,57,58,
1351,3,114.49999999996159,21,77,
1376,9,59.19999999998785,40,27,
1376,2,897.0999999999374,95,93,
1376,3,95.99999999996157,21,77,
1376,10,96.6999999999845,18,84,
1376,0,1346.3999999999378,71,48,
1376,1,871.0999999999374,97,48,
1376,4,417.2999999999613,61,54,
1376,5,670.2999999999374,33,19,
1376,7,705.4999999999529,98,96,
1376,8,417.299999999978,57,58,
1401,3,90.59999999996157,21,77,
1401,10,90.59999999998449,18,84,
1401,1,875.5999999999362,97,48,
1401,4,400.9999999999615,61,54,
1401,0,944.8999999999367,71,48,
1401,8,401.4999999999782,57,58,
1401,7,696.9999999999518,98,96,
1401,5,665.7999999999363,33,19,
1401,9,36.79999999998785,40,27,
1401,2,969.5999999999362,95,93,
1401,11,959.2999999999995,68,44,
1426,11,903.7999999999984,68,44,
1426,0,994.3999999999355,71,48,
1426,8,400.79999999997835,57,58,
1426,7,705.9999999999507,98,96,
1426,9,21.299999999987847,40,27,
1426,2,972.0999999999351,95,93,
1426,3,72.09999999996155,21,77,
1426,5,646.8999999999353,33,19,
1426,4,397.2999999999617,61,54,
1426,10,69.09999999998448,18,84,
1426,1,903.5999999999351,97,48,
1451,9,0.2999999999878469,40,27,
1451,10,66.39999999998447,18,84,
1451,3,67.59999999996154,21,77,
1451,4,408.49999999996186,61,54,
1451,5,634.7999999999342,33,19,
1451,8,406.19999999997856,57,58,
1451,11,884.2999999999972,68,44,
1451,1,937.099999999934,97,48,
1451,2,985.099999999934,95,93,
