tick,scent_id,energy,x,y
1,1,992.5999999999999,98,80,
1,3,992.5999999999999,51,19,
1,4,992.5999999999999,99,47,
1,2,992.5999999999999,65,36,
1,0,992.5999999999999,11,77,
1,5,992.5999999999999,4,90,
26,0,900.0999999999988,11,77,
26,4,900.0999999999988,99,47,
26,3,900.0999999999988,51,19,
26,2,900.0999999999988,65,36,
26,5,900.0999999999988,4,90,
26,1,900.0999999999988,98,80,
51,0,807.5999999999976,11,77,
51,1,807.5999999999976,98,80,
51,3,807.5999999999976,51,19,
51,2,807.5999999999976,65,36,
51,5,807.5999999999976,4,90,
51,4,807.5999999999976,99,47,
76,5,715.0999999999965,4,90,
76,1,715.0999999999965,98,80,
76,4,715.0999999999965,99,47,
76,2,715.0999999999965,65,36,
76,0,715.0999999999965,11,77,
76,3,715.0999999999965,51,19,
101,5,626.7999999999954,4,90,
101,4,626.9999999999955,99,47,
101,2,622.5999999999954,65,36,
101,3,630.6999999999955,51,19,
101,1,626.4999999999955,98,80,
101,0,626.2999999999954,11,77,
126,1,542.0999999999945,98,80,
126,0,541.4999999999943,11,77,
126,4,542.4999999999945,99,47,
126,5,545.5999999999945,4,90,
126,3,543.5999999999945,51,19,
126,2,538.1999999999944,65,36,
151,2,464.59999999999417,65,36,
151,1,466.3999999999943,98,80,
151,5,468.69999999999425,4,90,
151,3,464.5999999999943,51,19,
151,4,468.19999999999436,99,47,
151,0,468.59999999999405,11,77,
176,2,407.1999999999943,65,36,
176,1,400.09999999999445,98,80,
176,0,433.0999999999942,11,77,
176,5,399.59999999999445,4,90,
176,4,400.99999999999454,99,47,
176,3,412.5999999999944,51,19,
201,4,366.9999999999947,99,47,
201,2,349.79999999999444,65,36,
201,1,343.2999999999946,98,80,
201,0,634.7999999999937,11,77,
201,5,368.09999999999457,4,90,
201,3,363.2999999999945,51,19,
226,0,821.7999999999926,11,77,
226,3,308.5999999999946,51,19,
226,1,302.39999999999475,98,80,
226,5,343.8999999999947,4,90,
226,4,359.1999999999948,99,47,
226,2,292.3999999999946,65,36,
251,4,345.199999999995,99,47,
251,1,256.6999999999949,98,80,
251,2,240.3999999999947,65,36,
251,0,893.7999999999914,11,77,
251,5,289.39999999999486,4,90,
251,3,264.6999999999947,51,19,
276,4,340.5999999999951,99,47,
276,3,228.89999999999475,51,19,
276,2,196.49999999999477,65,36,
276,0,956.7999999999903,11,77,
276,5,240.89999999999498,4,90,
276,1,222.39999999999498,98,80,
301,5,204.59999999999502,4,90,
301,3,171.49999999999488,51,19,
301,2,163.3999999999948,65,36,
301,1,183.49999999999505,98,80,
301,0,1004.2999999999892,11,77,
301,4,300.59999999999525,99,47,
326,0,919.799999999988,11,77,
326,4,251.09999999999536,99,47,
326,1,150.1999999999951,98,80,
326,2,132.99999999999483,65,36,
326,3,124.89999999999496,51,19,
326,5,165.09999999999508,4,90,
351,1,113.19999999999511,98,80,
351,4,211.99999999999545,99,47,
351,2,91.79999999999481,65,36,
351,5,119.49999999999514,4,90,
351,0,817.2999999999869,11,77,
351,3,86.39999999999495,51,19,
376,0,711.7999999999857,11,77,
376,1,84.79999999999511,98,80,
376,3,53.29999999999494,51,19,
376,4,167.79999999999558,99,47,
376,5,89.59999999999513,4,90,
376,2,58.6999999999948,65,36,
401,3,25.599999999994935,51,19,
401,5,53.29999999999512,4,90,
401,4,144.49999999999562,99,47,
401,1,42.39999999999509,98,80,
401,2,33.6999999999948,65,36,
401,0,616.5999999999848,11,77,
426,0,530.0999999999839,11,77,
426,5,30.299999999995123,4,90,
426,1,18.499999999995087,98,80,
426,4,113.09999999999563,99,47,
426,3,0.5999999999949353,51,19,
426,2,5.999999999994802,65,36,
451,5,4.299999999995123,4,90,
451,4,78.09999999999562,99,47,
451,0,512.0999999999838,11,77,
476,4,54.3999999999956,99,47,
476,0,593.0999999999831,11,77,
501,0,713.099999999982,11,77,
501,4,108.09999999999559,99,47,
526,4,166.69999999999567,99,47,
526,0,794.0999999999808,11,77,
551,4,184.19999999999573,99,47,
551,0,1087.5999999999797,11,77,
576,0,1290.5999999999785,11,77,
576,4,199.39999999999583,99,47,
601,6,992.5999999999999,7,77,
601,4,180.4999999999959,99,47,
601,0,909.0999999999774,11,77,
626,0,992.5999999999763,11,77,
626,4,181.199999999996,99,47,
626,6,914.0999999999988,7,77,
651,6,905.5999999999976,7,77,
651,4,180.89999999999606,99,47,
651,0,1066.5999999999751,11,77,
676,0,1023.099999999974,11,77,
676,6,879.0999999999965,7,77,
676,4,158.69999999999612,99,47,
701,6,842.5999999999954,7,77,
701,4,145.4999999999962,99,47,
701,0,946.5999999999729,11,77,
726,0,871.5999999999717,11,77,
726,4,127.59999999999621,99,47,
726,6,804.0999999999942,7,77,
751,0,793.0999999999706,11,77,
751,6,723.5999999999931,7,77,
751,4,87.6999999999962,99,47,
776,6,670.599999999992,7,77,
776,4,61.79999999999619,99,47,
776,0,672.5999999999694,11,77,
801,6,606.899999999991,7,77,
801,4,37.099999999996186,99,47,
801,0,606.4999999999684,11,77,
826,4,14.199999999996184,99,47,
826,0,603.5999999999674,11,77,
826,6,606.19999999999,7,77,
851,4,-0.8000000000038163,99,47,
851,6,673.1999999999891,7,77,
851,0,671.0999999999663,11,77,
876,6,738.699999999988,7,77,
876,0,884.5999999999651,11,77,
901,0,914.099999999964,11,77,
901,6,770.1999999999869,7,77,
926,0,977.5999999999628,11,77,
926,6,783.6999999999857,7,77,
951,6,787.1999999999846,7,77,
951,0,1081.0999999999617,11,77,
976,0,1300.5999999999606,11,77,
976,6,758.6999999999834,7,77,
1001,6,718.1999999999823,7,77,
1001,0,1342.0999999999594,11,77,
1026,0,898.0999999999583,11,77,
1026,7,891.6999999999989,8,81,
1026,6,696.6999999999812,7,77,
1051,0,850.0999999999572,11,77,
1051,6,696.69999999998,7,77,
1051,7,770.1999999999978,8,81,
1076,0,736.099999999956,11,77,
1076,7,696.6999999999966,8,81,
1076,6,696.6999999999789,7,77,
1101,0,645.5999999999549,11,77,
1101,6,645.5999999999779,7,77,
1101,7,644.8999999999955,8,81,
1126,7,668.3999999999944,8,81,
1126,6,668.6999999999769,7,77,
1126,0,668.9999999999538,11,77,
1151,0,685.4999999999527,11,77,
1151,7,684.5999999999933,8,81,
1151,6,685.1999999999757,7,77,
1176,7,695.0999999999922,8,81,
1176,6,694.6999999999746,7,77,
1176,0,695.9999999999516,11,77,
1201,6,686.6999999999734,7,77,
1201,0,687.4999999999504,11,77,
1201,7,686.099999999991,8,81,
1226,0,633.8999999999494,11,77,
1226,7,631.79999999999,8,81,
1226,6,632.5999999999724,7,77,
1251,0,613.0999999999483,11,77,
1251,7,615.599999999989,8,81,
1251,6,613.6999999999714,7,77,
1276,0,557.5999999999474,11,77,
1276,7,554.399999999988,8,81,
1276,6,553.9999999999704,7,77,
1301,0,491.8999999999469,11,77,
1301,6,493.89999999996996,7,77,
1301,7,490.59999999998763,8,81,
1326,6,430.79999999997017,7,77,
1326,7,433.8999999999878,8,81,
1326,0,431.69999999994707,11,77,
1351,0,360.0999999999473,11,77,
1351,7,360.499999999988,8,81,
1351,6,360.39999999997036,7,77,
1376,6,310.29999999997045,7,77,
1376,0,310.1999999999474,11,77,
1376,7,308.4999999999881,8,81,
1401,6,266.0999999999705,7,77,
1401,7,266.59999999998826,8,81,
1401,0,266.3999999999475,11,77,
1426,7,297.49999999998835,8,81,
1426,6,297.09999999997063,7,77,
1426,0,295.79999999994766,11,77,
1451,6,437.39999999997076,7,77,
1451,7,435.7999999999885,8,81,
1451,0,370.9999999999478,11,77,
1476,0,464.999999999948,11,77,
1476,7,471.9999999999887,8,81,
1476,6,471.099999999971,7,77,
1501,6,520.9999999999709,7,77,
1501,0,518.5999999999481,11,77,
1501,7,524.4999999999886,8,81,
1526,7,532.4999999999877,8,81,
1526,6,532.69999999997,7,77,
1526,0,532.5999999999472,11,77,
1551,0,542.5999999999462,11,77,
1551,7,543.4999999999868,8,81,
1551,6,544.1999999999694,7,77,
1576,6,541.3999999999685,7,77,
1576,0,541.6999999999452,11,77,
1576,7,542.199999999986,8,81,
1601,6,523.9999999999675,7,77,
1601,0,524.8999999999442,11,77,
1601,7,524.499999999985,8,81,
1626,6,501.8999999999671,7,77,
1626,7,501.9999999999844,8,81,
1626,0,501.8999999999438,11,77,
1651,7,476.99999999998465,8,81,
1651,6,477.7999999999673,7,77,
1651,0,476.799999999944,11,77,
1676,7,440.29999999998483,8,81,
1676,6,439.69999999996753,7,77,
1676,0,440.1999999999442,11,77,
1701,0,416.7999999999444,11,77,
1701,6,420.0999999999676,7,77,
1701,7,416.999999999985,8,81,
1726,7,406.1999999999851,8,81,
1726,6,405.3999999999678,7,77,
1751,7,375.79999999998523,8,81,
1751,6,374.899999999968,7,77,
1776,7,366.39999999998537,8,81,
1776,6,368.69999999996816,7,77,
1801,7,344.7999999999855,8,81,
1801,6,345.29999999996835,7,77,
1826,6,447.1999999999685,7,77,
1826,7,447.9999999999857,8,81,
1851,7,561.5999999999854,8,81,
1851,6,567.6999999999682,7,77,
1876,7,639.7999999999843,8,81,
1876,6,640.6999999999673,7,77,
1901,7,707.7999999999831,8,81,
1901,6,700.3999999999662,7,77,
1926,6,707.3999999999651,7,77,
1926,7,719.799999999982,8,81,
1951,6,712.8999999999639,7,77,
1951,7,779.2999999999809,8,81,
1976,6,696.3999999999628,7,77,
1976,7,812.7999999999797,8,81,
2001,7,833.7999999999786,8,81,
2001,6,696.3999999999617,7,77,
2026,7,852.7999999999774,8,81,
2026,6,704.3999999999605,7,77,
2051,6,767.8999999999594,7,77,
2051,7,976.2999999999763,8,81,
2076,7,1027.7999999999752,8,81,
2076,6,791.3999999999583,7,77,
2101,7,1049.299999999974,8,81,
2126,7,1072.799999999973,8,81,
2151,7,1040.2999999999718,8,81,
2176,7,1095.7999999999706,8,81,
2201,7,1021.2999999999695,8,81,
2226,7,964.7999999999683,8,81,
2251,7,884.2999999999672,8,81,
2276,7,795.7999999999661,8,81,
2301,7,751.2999999999649,8,81,
2326,7,680.7999999999638,8,81,
2351,7,634.2999999999627,8,81,
2376,7,733.7999999999615,8,81,
2401,7,917.2999999999604,8,81,
2426,7,1092.7999999999593,8,81,
2451,7,1296.2999999999581,8,81,
2476,7,1387.799999999957,8,81,
2501,7,985.2999999999558,8,81,
2501,8,925.9999999999991,12,87,
2526,8,863.499999999998,12,87,
2551,8,860.9999999999968,12,87,
2576,8,874.4999999999957,12,87,
2601,8,911.9999999999945,12,87,
2626,8,943.4999999999934,12,87,
2651,8,1018.9999999999923,12,87,
2676,8,1072.4999999999911,12,87,
2701,8,1119.99999999999,12,87,
2726,8,1127.4999999999889,12,87,
2751,8,1162.9999999999877,12,87,
2776,8,1278.4999999999866,12,87,
2801,8,1335.9999999999854,12,87,
2826,8,1371.4999999999843,12,87,
2851,8,898.9999999999832,12,87,
2851,9,977.7999999999997,10,95,
2876,9,885.2999999999986,10,95,
2876,8,942.499999999982,12,87,
2901,9,884.7999999999975,10,95,
2901,8,1033.999999999981,12,87,
2926,8,1031.4999999999798,12,87,
2926,9,856.2999999999963,10,95,
2951,8,1024.9999999999786,12,87,
2951,9,833.7999999999952,10,95,
2976,9,857.299999999994,10,95,
2976,8,1108.4999999999775,12,87,
3001,8,1197.9999999999764,12,87,
3001,9,828.7999999999929,10,95,
3026,8,1187.4999999999752,12,87,
3026,9,782.2999999999918,10,95,
3051,9,733.7999999999906,10,95,
3051,8,1246.999999999974,12,87,
3076,8,1222.999999999973,12,87,
3076,9,698.7999999999895,10,95,
3101,9,696.7999999999884,10,95,
3101,8,1219.9999999999718,12,87,
3126,8,1148.9999999999707,12,87,
3126,9,696.7999999999872,10,95,
3151,9,696.7999999999861,10,95,
3151,8,1085.9999999999695,12,87,
3176,8,966.9999999999684,12,87,
3176,9,696.799999999985,10,95,
3201,9,696.7999999999838,10,95,
3201,8,885.9999999999673,12,87,
3226,9,729.7999999999827,10,95,
3226,8,771.9999999999661,12,87,
3251,9,688.2999999999815,10,95,
3251,8,688.499999999965,12,87,
3276,9,614.7999999999804,10,95,
3276,8,615.799999999964,12,87,
3301,9,540.5999999999794,10,95,
3301,8,539.899999999963,12,87,
3326,9,533.9999999999786,10,95,
3326,8,533.9999999999623,12,87,
3351,8,590.2999999999613,12,87,
3351,9,589.5999999999776,10,95,
3376,8,643.3999999999603,12,87,
3376,9,642.9999999999766,10,95,
3401,9,712.4999999999754,10,95,
3401,8,730.8999999999592,12,87,
3426,9,735.9999999999743,10,95,
3426,8,772.399999999958,12,87,
3451,9,735.4999999999732,10,95,
3451,8,801.8999999999569,12,87,
3476,8,887.3999999999558,12,87,
3476,9,724.999999999972,10,95,
3501,8,890.3999999999546,12,87,
3501,9,700.9999999999709,10,95,
3526,8,827.8999999999535,12,87,
3526,9,696.4999999999698,10,95,
3551,8,730.8999999999523,12,87,
