tick,scent_id,energy,x,y,
1,4,992.5999999999999,95,75,
1,0,992.5999999999999,18,32,
1,3,992.5999999999999,59,92,
1,1,992.5999999999999,92,48,
1,5,992.5999999999999,93,29,
1,2,992.5999999999999,5,2,
26,3,900.0999999999988,59,92,
26,4,900.0999999999988,95,75,
26,2,900.0999999999988,5,2,
26,1,900.0999999999988,92,48,
26,5,900.0999999999988,93,29,
26,0,900.0999999999988,18,32,
51,0,807.5999999999976,18,32,
51,4,807.5999999999976,95,75,
51,1,807.5999999999976,92,48,
51,3,807.5999999999976,59,92,
51,5,807.5999999999976,93,29,
51,2,807.5999999999976,5,2,
76,2,715.0999999999965,5,2,
76,5,715.0999999999965,93,29,
76,3,715.0999999999965,59,92,
76,4,715.0999999999965,95,75,
76,0,715.0999999999965,18,32,
76,1,715.0999999999965,92,48,
101,4,625.2999999999954,95,75,
101,2,625.2999999999954,5,2,
101,5,627.9999999999955,93,29,
101,1,625.7999999999954,92,48,
101,0,624.7999999999954,18,32,
101,3,622.5999999999954,59,92,
126,4,552.1999999999946,95,75,
126,3,535.4999999999943,59,92,
126,1,549.4999999999945,92,48,
126,5,549.6999999999946,93,29,
126,2,546.2999999999945,5,2,
126,0,552.6999999999946,18,32,
151,2,472.69999999999425,5,2,
151,5,476.6999999999942,93,29,
151,1,474.49999999999426,92,48,
151,4,476.5999999999942,95,75,
151,3,456.4999999999942,59,92,
151,0,473.7999999999942,18,32,
176,3,390.9999999999944,59,92,
176,2,404.49999999999443,5,2,
176,5,409.2999999999944,93,29,
176,4,406.8999999999944,95,75,
176,0,406.7999999999944,18,32,
176,1,405.79999999999444,92,48,
201,3,325.49999999999454,59,92,
201,4,348.79999999999455,95,75,
201,2,338.9999999999946,5,2,
201,1,345.6999999999946,92,48,
201,0,348.99999999999454,18,32,
201,5,344.8999999999945,93,29,
226,5,297.0999999999946,93,29,
226,0,291.79999999999467,18,32,
226,2,284.2999999999947,5,2,
226,3,278.89999999999463,59,92,
226,4,293.3999999999947,95,75,
226,1,289.2999999999947,92,48,
251,0,269.9999999999947,18,32,
251,4,249.3999999999948,95,75,
251,1,269.1999999999948,92,48,
251,2,244.3999999999948,5,2,
251,5,251.9999999999947,93,29,
251,3,229.59999999999474,59,92,
276,3,188.3999999999948,59,92,
276,2,207.0999999999949,5,2,
276,0,241.59999999999485,18,32,
276,4,238.39999999999492,95,75,
276,5,238.29999999999478,93,29,
276,1,239.7999999999949,92,48,
301,3,155.29999999999484,59,92,
301,2,165.199999999995,5,2,
301,1,229.29999999999495,92,48,
301,0,228.69999999999493,18,32,
301,4,226.49999999999505,95,75,
301,5,227.19999999999487,93,29,
326,3,116.79999999999487,59,92,
326,2,121.29999999999505,5,2,
326,0,228.699999999995,18,32,
326,4,223.99999999999517,95,75,
326,5,234.99999999999494,93,29,
326,1,222.99999999999505,92,48,
351,0,261.79999999999507,18,32,
351,2,88.19999999999504,5,2,
351,3,83.69999999999486,59,92,
351,5,245.59999999999496,93,29,
351,4,242.39999999999526,95,75,
351,1,259.39999999999515,92,48,
376,5,248.69999999999504,93,29,
376,2,52.39999999999503,5,2,
376,0,265.2999999999952,18,32,
376,1,265.7999999999953,92,48,
376,4,249.49999999999534,95,75,
376,3,45.199999999994844,59,92,
401,0,249.09999999999525,18,32,
401,4,247.29999999999546,95,75,
401,3,20.199999999994844,59,92,
401,5,247.9999999999951,93,29,
401,1,246.59999999999536,92,48,
401,2,21.99999999999503,5,2,
426,4,233.99999999999557,95,75,
426,0,246.49999999999534,18,32,
426,5,234.79999999999524,93,29,
426,1,247.19999999999544,92,48,
451,0,228.79999999999546,18,32,
451,4,227.49999999999568,95,75,
451,5,228.99999999999534,93,29,
451,1,228.59999999999553,92,48,
476,0,250.89999999999554,18,32,
476,1,254.0999999999956,92,48,
476,4,248.69999999999573,95,75,
476,5,240.09999999999542,93,29,
501,1,288.9999999999957,92,48,
501,5,272.8999999999955,93,29,
501,4,269.5999999999959,95,75,
501,0,288.8999999999957,18,32,
526,0,288.99999999999585,18,32,
526,4,272.699999999996,95,75,
526,1,288.59999999999576,92,48,
526,5,274.59999999999565,93,29,
551,5,270.79999999999575,93,29,
551,4,268.9999999999962,95,75,
551,1,267.79999999999586,92,48,
551,0,266.49999999999596,18,32,
576,1,263.299999999996,92,48,
576,4,268.2999999999963,95,75,
576,5,266.49999999999585,93,29,
576,0,259.2999999999961,18,32,
601,1,273.39999999999606,92,48,
601,4,273.39999999999645,95,75,
601,5,277.2999999999959,93,29,
601,0,272.1999999999962,18,32,
626,0,270.9999999999963,18,32,
626,1,268.49999999999613,92,48,
626,5,286.89999999999606,93,29,
626,4,288.59999999999656,95,75,
651,0,266.79999999999643,18,32,
651,4,279.79999999999666,95,75,
651,1,280.8999999999962,92,48,
651,5,282.7999999999962,93,29,
676,5,307.19999999999635,93,29,
676,0,291.6999999999965,18,32,
676,4,294.99999999999676,95,75,
676,1,290.99999999999636,92,48,
701,4,291.2999999999968,95,75,
701,5,294.8999999999965,93,29,
701,0,294.49999999999665,18,32,
701,1,294.89999999999645,92,48,
726,4,313.59999999999695,95,75,
726,5,311.19999999999663,93,29,
726,1,311.1999999999965,92,48,
726,0,314.29999999999677,18,32,
751,5,303.79999999999677,93,29,
751,0,301.2999999999969,18,32,
751,4,304.5999999999971,95,75,
751,1,301.69999999999663,92,48,
776,1,284.3999999999968,92,48,
776,0,285.199999999997,18,32,
776,4,283.5999999999973,95,75,
776,5,283.2999999999969,93,29,
801,5,267.799999999997,93,29,
801,1,268.0999999999969,92,48,
801,4,267.1999999999975,95,75,
801,0,265.7999999999971,18,32,
826,0,264.19999999999726,18,32,
826,1,261.299999999997,92,48,
826,5,263.9999999999971,93,29,
826,4,263.3999999999976,95,75,
851,0,240.39999999999736,18,32,
851,5,244.1999999999972,93,29,
851,4,243.79999999999768,95,75,
851,1,244.59999999999712,92,48,
876,0,238.6999999999975,18,32,
876,5,236.99999999999727,93,29,
876,1,238.09999999999724,92,48,
876,4,237.99999999999778,95,75,
901,1,236.79999999999728,92,48,
901,0,233.09999999999758,18,32,
901,5,235.59999999999735,93,29,
901,4,235.9999999999979,95,75,
926,5,223.99999999999744,93,29,
926,4,226.399999999998,95,75,
926,1,225.7999999999974,92,48,
926,0,227.59999999999764,18,32,
951,5,215.19999999999754,93,29,
951,0,213.89999999999776,18,32,
951,4,215.5999999999981,95,75,
951,1,216.4999999999975,92,48,
976,1,195.09999999999758,92,48,
976,4,193.19999999999817,95,75,
976,0,195.19999999999783,18,32,
976,5,193.29999999999768,93,29,
1001,5,194.09999999999775,93,29,
1001,4,185.0999999999982,95,75,
1001,1,184.09999999999764,92,48,
1001,0,183.4999999999979,18,32,
1026,4,171.59999999999826,95,75,
1026,0,169.59999999999798,18,32,
1026,1,171.39999999999765,92,48,
1026,5,171.5999999999978,93,29,
1051,5,142.29999999999785,93,29,
1051,4,141.09999999999832,95,75,
1051,0,141.59999999999803,18,32,
1051,1,143.09999999999775,92,48,
1076,0,121.89999999999809,18,32,
1076,1,119.99999999999775,92,48,
1076,4,121.49999999999834,95,75,
1076,5,120.89999999999787,93,29,
1101,5,92.19999999999786,93,29,
1101,4,95.39999999999833,95,75,
1101,0,92.59999999999808,18,32,
1101,1,92.19999999999774,92,48,
1126,1,64.29999999999772,92,48,
1126,4,63.699999999998326,95,75,
1126,0,63.599999999998076,18,32,
1126,5,63.79999999999785,93,29,
1151,4,30.19999999999831,95,75,
1151,1,29.19999999999772,92,48,
1151,0,30.999999999998067,18,32,
1151,5,31.199999999997843,93,29,
1176,0,23.499999999998067,18,32,
1176,1,32.49999999999772,92,48,
1176,5,13.199999999997843,93,29,
1176,4,12.999999999998312,95,75,
1201,1,3.29999999999772,92,48,
1201,4,2.4999999999983125,95,75,
1201,5,3.699999999997843,93,29,
1201,0,3.299999999998068,18,32,
