tick,scent_id,energy,x,y
326,2,357.59999999999536,53,23,
326,5,176.89999999999492,24,98,
326,4,256.09999999999496,52,75,
351,5,151.699999999995,24,98,
351,0,603.0999999999885,66,7,
351,1,70.19999999999494,8,66,
351,3,70.79999999999501,92,38,
351,2,349.5999999999955,53,23,
351,4,337.3999999999951,52,75,
376,5,135.299999999995,24,98,
376,3,43.099999999995006,92,38,
376,2,321.0999999999956,53,23,
376,0,586.6999999999875,66,7,
376,1,39.79999999999494,8,66,
376,4,391.09999999999525,52,75,
401,4,423.0999999999954,52,75,
401,3,18.099999999995006,92,38,
401,5,100.799999999995,24,98,
401,2,287.5999999999957,53,23,
401,0,560.9999999999866,66,7,
401,1,12.099999999994935,8,66,
426,5,65.59999999999498,24,98,
426,2,263.7999999999958,53,23,
426,0,563.9999999999857,66,7,
426,4,432.0999999999956,52,75,
451,5,33.79999999999497,24,98,
451,2,235.09999999999593,53,23,
451,4,429.89999999999577,52,75,
451,0,553.0999999999849,66,7,
476,0,530.6999999999839,66,7,
476,5,3.399999999994968,24,98,
476,4,497.799999999996,52,75,
476,2,198.29999999999603,53,23,
501,0,506.99999999998306,66,7,
501,2,175.3999999999961,53,23,
501,4,568.4999999999952,52,75,
526,0,516.7999999999831,66,7,
526,2,147.59999999999616,53,23,
526,4,572.7999999999943,52,75,
551,2,123.9999999999962,53,23,
551,4,541.3999999999933,52,75,
551,0,553.2999999999824,66,7,
576,2,120.2999999999962,53,23,
576,0,534.8999999999814,66,7,
576,4,513.1999999999925,52,75,
601,2,93.89999999999618,53,23,
601,0,531.8999999999805,66,7,
601,4,458.69999999999277,52,75,
626,4,439.49999999999295,52,75,
626,0,518.1999999999797,66,7,
626,2,76.49999999999618,53,23,
651,2,88.69999999999617,53,23,
651,0,663.7999999999789,66,7,
651,4,434.7999999999931,52,75,
676,0,837.2999999999778,66,7,
676,2,100.49999999999615,53,23,
676,4,414.3999999999932,52,75,
701,4,381.79999999999336,52,75,
701,0,928.7999999999766,66,7,
701,2,84.59999999999614,53,23,
726,4,354.79999999999353,52,75,
726,0,1036.2999999999754,66,7,
726,2,60.29999999999613,53,23,
751,0,1095.7999999999743,66,7,
751,2,65.89999999999613,53,23,
751,4,431.39999999999367,52,75,
776,4,490.7999999999938,52,75,
776,0,1117.2999999999731,66,7,
776,2,35.99999999999612,53,23,
801,2,8.099999999996122,53,23,
801,4,460.799999999994,52,75,
801,0,1158.799999999972,66,7,
826,4,579.6999999999932,52,75,
826,0,1186.2999999999709,66,7,
851,4,657.8999999999921,52,75,
851,0,1205.7999999999697,66,7,
876,0,1155.2999999999686,66,7,
876,4,674.099999999991,52,75,
901,0,1104.7999999999674,66,7,
901,4,643.5999999999899,52,75,
926,0,1030.2999999999663,66,7,
926,4,636.4999999999889,52,75,
951,4,580.7999999999879,52,75,
951,0,949.7999999999652,66,7,
976,4,545.1999999999871,52,75,
976,0,867.299999999964,66,7,
1001,0,836.7999999999629,66,7,
1001,4,538.8999999999862,52,75,
1026,0,772.2999999999618,66,7,
1026,4,485.8999999999857,52,75,
1051,4,409.5999999999859,52,75,
1051,0,701.7999999999606,66,7,
1076,4,364.299999999986,52,75,
1076,0,648.6999999999596,66,7,
1101,4,298.7999999999862,52,75,
1101,0,575.6999999999587,66,7,
1126,4,246.09999999998632,52,75,
1126,0,702.5999999999576,66,7,
1151,4,220.1999999999864,52,75,
1151,0,900.0999999999565,66,7,
1176,0,1067.5999999999553,66,7,
1176,4,196.19999999998652,52,75,
1201,4,188.2999999999866,52,75,
1201,0,1147.0999999999542,66,7,
1226,0,1218.599999999953,66,7,
1226,4,141.6999999999867,52,75,
1251,4,278.49999999998676,52,75,
1251,0,1286.099999999952,66,7,
1276,4,527.6999999999866,52,75,
1276,0,1323.5999999999508,66,7,
1301,4,628.5999999999856,52,75,
1301,0,1369.0999999999497,66,7,
1326,0,1016.5999999999485,66,7,
1326,4,738.7999999999845,52,75,
1326,6,944.4999999999993,65,9,
1351,4,838.2999999999834,52,75,
1351,6,851.9999999999982,65,9,
1351,0,1066.0999999999474,66,7,
1376,6,811.499999999997,65,9,
1376,4,937.7999999999822,52,75,
1376,0,1097.5999999999462,66,7,
1401,6,826.9999999999959,65,9,
1401,0,1169.099999999945,66,7,
1401,4,991.2999999999811,52,75,
1426,0,1180.599999999944,66,7,
1426,4,1158.79999999998,52,75,
1426,6,770.4999999999948,65,9,
1451,0,1180.0999999999428,66,7,
1451,4,1208.2999999999788,52,75,
1451,6,709.9999999999936,65,9,
1476,0,1229.5999999999417,66,7,
1476,4,1201.7999999999777,52,75,
1476,6,717.4999999999925,65,9,
1501,0,1165.5999999999406,66,7,
1501,4,1149.2999999999765,52,75,
1501,6,696.4999999999914,65,9,
1526,6,698.4999999999902,65,9,
1526,0,1122.5999999999394,66,7,
1526,4,1096.7999999999754,52,75,
1551,4,1036.2999999999743,52,75,
1551,0,1070.0999999999383,66,7,
1551,6,699.9999999999891,65,9,
1576,0,1186.5999999999372,66,7,
1576,6,702.499999999988,65,9,
1601,6,705.4999999999868,65,9,
1601,0,914.599999999936,66,7,
1601,7,992.5999999999999,74,11,
1626,7,900.0999999999988,74,11,
1626,6,740.9999999999857,65,9,
1626,0,988.0999999999349,66,7,
1651,6,702.4999999999845,65,9,
1651,0,1041.5999999999337,66,7,
1651,7,807.5999999999976,74,11,
1676,0,1004.5999999999326,66,7,
1676,7,721.0999999999965,74,11,
1676,6,698.4999999999834,65,9,
1701,0,997.5999999999315,66,7,
1701,6,696.4999999999823,65,9,
1701,7,637.2999999999954,74,11,
1726,7,559.5999999999945,74,11,
1726,6,696.4999999999811,65,9,
1726,0,934.5999999999303,66,7,
1751,6,698.49999999998,65,9,
1751,0,895.5999999999292,66,7,
1751,7,477.899999999994,74,11,
1776,0,912.5999999999281,66,7,
1776,6,696.4999999999789,65,9,
1776,7,406.9999999999942,74,11,
1801,0,909.0999999999269,66,7,
1801,7,336.0999999999944,74,11,
1801,6,700.9999999999777,65,9,
1826,6,698.4999999999766,65,9,
1826,7,284.0999999999945,74,11,
1826,0,862.5999999999258,66,7,
1851,6,700.9999999999754,65,9,
1851,0,807.0999999999246,66,7,
1851,7,237.4999999999946,74,11,
1876,7,193.59999999999468,74,11,
1876,6,696.4999999999743,65,9,
1876,0,746.5999999999235,66,7,
1901,0,679.5999999999224,66,7,
1901,7,160.4999999999947,74,11,
1901,6,680.4999999999732,65,9,
1926,6,618.7999999999722,65,9,
1926,7,121.99999999999476,74,11,
1951,6,546.3999999999712,65,9,
1951,7,83.49999999999474,74,11,
1976,7,53.099999999994736,74,11,
1976,6,474.7999999999709,65,9,
2001,6,422.799999999971,65,9,
2001,7,17.299999999994732,74,11,
2026,6,359.9999999999712,65,9,
2051,6,365.2999999999713,65,9,
2076,6,598.3999999999711,65,9,
2101,6,808.59999999997,65,9,
2126,6,1096.099999999969,65,9,
2151,6,1227.5999999999678,65,9,
2176,6,1297.0999999999667,65,9,
2201,6,1340.5999999999656,65,9,
2226,8,988.8999999999999,55,14,
2226,6,1000.0999999999644,65,9,
2251,6,1079.5999999999633,65,9,
2251,8,906.3999999999987,55,14,
2276,6,1107.0999999999622,65,9,
2276,8,831.8999999999976,55,14,
2301,8,741.3999999999965,55,14,
2301,6,1136.599999999961,65,9,
2326,8,648.8999999999953,55,14,
2326,6,1178.09999999996,65,9,
2351,6,1221.5999999999588,65,9,
2351,8,560.3999999999942,55,14,
2376,8,486.09999999999366,55,14,
2376,6,1235.0999999999576,65,9,
2401,6,1266.5999999999565,65,9,
2401,8,418.49999999999386,55,14,
2426,6,1292.0999999999553,65,9,
2426,8,362.399999999994,55,14,
2451,6,1379.5999999999542,65,9,
2451,8,304.29999999999416,55,14,
2476,8,254.59999999999428,55,14,
2476,6,927.0999999999531,65,9,
2476,9,946.8999999999994,59,13,
2501,9,999.3999999999983,59,13,
2501,8,210.99999999999437,55,14,
2501,6,950.5999999999519,65,9,
2526,6,948.0999999999508,65,9,
2526,8,168.59999999999445,55,14,
2526,9,1057.3999999999971,59,13,
2551,8,129.89999999999452,55,14,
2551,6,919.5999999999497,65,9,
2551,9,1038.399999999996,59,13,
2576,9,992.8999999999949,59,13,
2576,6,885.0999999999485,65,9,
2576,8,97.09999999999451,55,14,
2601,9,932.3999999999937,59,13,
2601,8,72.09999999999451,55,14,
2601,6,840.5999999999474,65,9,
2626,8,47.09999999999451,55,14,
2626,9,861.8999999999926,59,13,
2626,6,786.0999999999462,65,9,
2651,8,22.09999999999451,55,14,
2651,9,805.3999999999915,59,13,
2651,6,737.5999999999451,65,9,
2676,9,754.8999999999903,59,13,
2676,6,693.099999999944,65,9,
2701,6,675.5999999999428,65,9,
2701,9,675.3999999999892,59,13,
2726,6,641.8999999999419,65,9,
2726,9,646.2999999999881,59,13,
2751,6,611.899999999941,65,9,
2751,9,614.2999999999872,59,13,
2776,6,585.49999999994,65,9,
2776,9,579.2999999999863,59,13,
2801,9,550.4999999999852,59,13,
2801,6,556.799999999939,65,9,
2826,9,542.8999999999842,59,13,
2851,9,539.8999999999833,59,13,
2876,9,530.8999999999824,59,13,
2901,9,507.9999999999819,59,13,
2926,9,480.99999999998215,59,13,
2951,9,495.39999999998236,59,13,
2976,9,497.0999999999826,59,13,
3001,9,570.099999999982,59,13,
3026,9,638.2999999999809,59,13,
3051,9,651.1999999999798,59,13,
3076,9,624.6999999999787,59,13,
3101,9,606.8999999999776,59,13,
