tick,scent_id,energy,x,y
1,3,992.5999999999999,76,3,
1,2,992.5999999999999,33,25,
1,1,992.5999999999999,73,55,
1,5,992.5999999999999,89,15,
1,4,992.5999999999999,17,74,
1,0,992.5999999999999,94,68,
26,5,900.0999999999988,89,15,
26,4,900.0999999999988,17,74,
26,1,900.0999999999988,73,55,
26,2,900.0999999999988,33,25,
26,3,900.0999999999988,76,3,
26,0,900.0999999999988,94,68,
51,2,873.5999999999976,33,25,
51,4,825.5999999999976,17,74,
51,1,807.5999999999976,73,55,
51,0,807.5999999999976,94,68,
51,5,825.5999999999976,89,15,
51,3,807.5999999999976,76,3,
76,1,737.0999999999965,73,55,
76,0,715.0999999999965,94,68,
76,2,965.0999999999965,33,25,
76,5,771.0999999999965,89,15,
76,4,745.0999999999965,17,74,
76,3,717.0999999999965,76,3,
101,5,695.5999999999954,89,15,
101,0,625.5999999999954,94,68,
101,3,639.7999999999954,76,3,
101,4,660.5999999999954,17,74,
101,1,640.7999999999954,73,55,
101,2,1082.5999999999954,33,25,
126,4,577.4999999999943,17,74,
126,0,541.6999999999944,94,68,
126,1,558.6999999999944,73,55,
126,2,1156.0999999999942,33,25,
126,5,613.2999999999943,89,15,
126,3,559.0999999999945,76,3,
151,0,460.9999999999942,94,68,
151,4,511.8999999999935,17,74,
151,2,1177.599999999993,33,25,
151,3,488.79999999999404,76,3,
151,1,481.7999999999939,73,55,
151,5,544.6999999999935,89,15,
176,0,393.7999999999944,94,68,
176,2,1215.099999999992,33,25,
176,5,478.79999999999313,89,15,
176,4,445.6999999999937,17,74,
176,1,432.599999999994,73,55,
176,3,431.29999999999416,76,3,
201,0,340.0999999999945,94,68,
201,5,398.79999999999336,89,15,
201,4,380.19999999999385,17,74,
201,3,384.89999999999424,76,3,
201,2,1306.5999999999908,33,25,
201,1,364.1999999999942,73,55,
226,1,317.9999999999943,73,55,
226,2,1336.0999999999897,33,25,
226,4,314.699999999994,17,74,
226,5,343.5999999999935,89,15,
226,0,293.9999999999946,94,68,
226,3,324.39999999999435,76,3,
251,5,280.79999999999364,89,15,
251,0,241.9999999999947,94,68,
251,2,963.5999999999885,33,25,
251,4,257.29999999999416,17,74,
251,3,268.8999999999945,76,3,
251,1,268.6999999999944,73,55,
251,6,977.7999999999997,27,24,
276,3,218.39999999999463,76,3,
276,4,202.59999999999428,17,74,
276,2,993.0999999999874,33,25,
276,0,189.99999999999483,94,68,
276,5,236.89999999999372,89,15,
276,1,220.5999999999945,73,55,
276,6,925.2999999999986,27,24,
301,3,178.9999999999947,76,3,
301,4,155.99999999999437,17,74,
301,6,870.7999999999975,27,24,
301,0,159.59999999999485,94,68,
301,2,988.5999999999863,33,25,
301,5,187.59999999999383,89,15,
301,1,177.59999999999457,73,55,
326,3,138.49999999999477,76,3,
326,1,138.39999999999463,73,55,
326,4,125.49999999999442,17,74,
326,2,936.0999999999851,33,25,
326,5,140.99999999999392,89,15,
326,6,780.2999999999963,27,24,
326,0,115.69999999999492,94,68,
351,6,690.7999999999952,27,24,
351,4,101.79999999999441,17,74,
351,0,71.7999999999949,94,68,
351,5,105.19999999999393,89,15,
351,3,103.39999999999478,76,3,
351,1,96.49999999999464,73,55,
351,2,850.599999999984,33,25,
376,2,730.0999999999829,33,25,
376,4,71.3999999999944,17,74,
376,5,68.89999999999392,89,15,
376,3,69.09999999999476,76,3,
376,1,63.899999999994634,73,55,
376,0,41.89999999999489,94,68,
376,6,641.0999999999942,27,24,
401,5,29.89999999999391,89,15,
401,1,33.99999999999463,73,55,
401,2,604.7999999999818,33,25,
401,4,43.699999999994404,17,74,
401,3,47.599999999994765,76,3,
401,6,589.4999999999932,27,24,
401,0,14.69999999999489,94,68,
426,1,6.799999999994629,73,55,
426,2,529.2999999999809,33,25,
426,6,526.9999999999923,27,24,
426,4,15.999999999994401,17,74,
426,5,1.69999999999391,89,15,
426,3,16.699999999994766,76,3,
451,2,489.69999999998066,33,25,
451,6,489.4999999999921,27,24,
476,2,489.1999999999809,33,25,
476,6,489.3999999999923,27,24,
501,6,471.1999999999925,27,24,
501,2,470.2999999999811,33,25,
526,2,480.59999999998126,33,25,
526,6,469.19999999999266,27,24,
551,2,458.19999999998146,33,25,
551,6,463.8999999999928,27,24,
576,6,439.199999999993,27,24,
576,2,453.79999999998165,33,25,
601,2,453.49999999998187,33,25,
601,6,439.09999999999314,27,24,
626,2,437.3999999999821,33,25,
626,6,432.69999999999334,27,24,
651,2,404.59999999998223,33,25,
651,6,403.79999999999353,27,24,
676,2,389.7999999999824,33,25,
676,6,384.2999999999937,27,24,
701,2,369.29999999998256,33,25,
701,6,372.49999999999386,27,24,
726,6,350.299999999994,27,24,
726,2,345.9999999999827,33,25,
751,2,316.4999999999829,33,25,
751,6,312.79999999999416,27,24,
776,2,305.199999999983,33,25,
776,6,284.79999999999427,27,24,
801,6,291.4999999999944,27,24,
801,2,290.4999999999831,33,25,
826,2,278.79999999998324,33,25,
826,6,273.89999999999446,27,24,
851,6,259.09999999999457,27,24,
851,2,261.69999999998333,33,25,
876,2,244.49999999998346,33,25,
876,6,226.29999999999467,27,24,
901,6,230.09999999999474,27,24,
901,2,264.9999999999835,33,25,
926,6,204.69999999999487,27,24,
926,2,262.3999999999836,33,25,
951,6,191.99999999999494,27,24,
951,2,249.89999999998372,33,25,
976,6,172.39999999999503,27,24,
976,2,238.9999999999838,33,25,
1001,2,215.79999999998392,33,25,
1001,6,164.3999999999951,27,24,
1026,6,148.79999999999512,27,24,
1026,2,208.99999999998403,33,25,
1051,2,210.39999999998412,33,25,
1051,6,136.99999999999517,27,24,
1076,2,224.09999999998416,33,25,
1076,6,125.6999999999952,27,24,
1101,6,114.59999999999519,27,24,
1101,2,218.19999999998424,33,25,
1126,6,84.59999999999518,27,24,
1126,2,204.4999999999843,33,25,
1151,6,70.19999999999517,27,24,
1151,2,180.49999999998442,33,25,
1176,6,46.299999999995165,27,24,
1176,2,180.89999999998446,33,25,
1201,2,192.89999999998452,33,25,
1201,6,18.69999999999516,27,24,
1226,6,6.1999999999951605,27,24,
1226,2,236.4999999999846,33,25,
1251,2,246.59999999998468,33,25,
1276,2,254.5999999999848,33,25,
1301,2,246.5999999999849,33,25,
1326,2,247.299999999985,33,25,
1351,2,250.6999999999851,33,25,
1376,2,251.49999999998516,33,25,
1401,2,294.0999999999853,33,25,
1426,2,333.29999999998546,33,25,
1451,2,353.8999999999856,33,25,
1476,2,371.79999999998574,33,25,
1501,2,379.79999999998586,33,25,
1526,2,354.399999999986,33,25,
1551,2,330.3999999999861,33,25,
1576,2,340.3999999999862,33,25,
1601,2,309.5999999999864,33,25,
1626,2,304.99999999998647,33,25,
1651,2,288.19999999998663,33,25,
1676,2,265.49999999998676,33,25,
1701,2,272.89999999998685,33,25,
1726,2,294.89999999998696,33,25,
1751,2,372.1999999999871,33,25,
1776,2,424.69999999998726,33,25,
1801,2,518.6999999999873,33,25,
1826,2,624.4999999999866,33,25,
1851,2,733.3999999999855,33,25,
1876,2,818.8999999999844,33,25,
1901,2,842.3999999999833,33,25,
1926,2,855.8999999999821,33,25,
1951,2,891.399999999981,33,25,
1976,2,892.8999999999799,33,25,
2001,2,910.3999999999787,33,25,
2026,2,891.8999999999776,33,25,
2051,2,897.3999999999764,33,25,
2076,2,890.8999999999753,33,25,
2101,2,888.3999999999742,33,25,
2126,2,969.899999999973,33,25,
2151,2,1023.3999999999719,33,25,
2176,2,1214.8999999999708,33,25,
2201,2,1350.3999999999696,33,25,
